rt_ref_link_id,rt_ref_link_id_old,orig_lang_abbrev,lex_ref_link_id,ref_id,ref_rt_index,word_id,ref_wd_index,reflex,category,gloss_orig,gloss_eng,questionable,notes,expanded_notes,original_text,created_by,last_updated_by,last_updated,rt_master_id,derivation,rt_index,orig_lang_abbrev_raw,lang_map_status
9458.0,2464.0,,6068,liv,774.0,,6068,rand-,nasal-infix present,kratzen,to scratch,0,2,"2: Vgl. BAILEY 357b; ABAEV II 375; Umbildung von *ranad-/*rand- < *Rₑnéd-/*Rend-? Oder ist die Wurzel als *Rend- anzusetzen und iir. *rad- als R(z) zu betrachten, die erst sekundär als R(e) interpretiert wurde?",[mp. (+) rand- ‘kratzen’{2},"TD, AMB",AMB,07_23_2025_1516,1803.0,nasal-infix present,,ger,unmapped
9623.0,2600.0,,6425,liv,824.0,,6425,apa asaitsam,s-aorist,habe weggejagt,,0,2,,"ved. iṣ-Aor. 2s Inj. mā́ prá sedhiṣ RV 10,27,20 ‘treibe nicht fort!’, s-Aor. 1s apa +asaitsam2 JB ‘habe weggejagt’","TD, AMB",AMB,07_23_2025_1516,1894.0,s-aorist,,s-Aor.,unmapped
10657.0,3393.0,,8641,liv,1122.0,,8641,ni-uuarāni,root aorist,will umschließen,,1,3,3: Wie im Ved. ist mit Zusammenfall mehrerer Wurzeln zu rechnen.,?aav. Konj. ni-uuarāni ‘will umschließen’{3},"TD, AMB",AMB,07_23_2025_1516,2455.0,root aorist,,aa,unmapped
3632.0,280.0,,9078,nil,2.0,,62,bârzda,*bʰar(s)dʰ-ah₂-,Bart,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,dial.,unmapped
3632.0,280.0,,9080,nil,2.0,,64,bârzde,*bʰar(s)dʰ-ah₂-,Bart,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,dial.,unmapped
3638.0,301.0,,9089,nil,3.0,,73,wat,*bʰeg-tó-,"Bruch, Lücke",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
3739.0,347.0,,9376,nil,8.0,,360,quempret,? *(-)bʰr̥-tah₂-,Nehmen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mbret,unmapped
3804.0,441.0,,9553,nil,12.0,,537,vrōr,*bʰráh₂ter-,Bruder,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
3887.0,487.0,,9875,nil,16.0,,859,lēwar,*dai̯u̯ér-,Bruder des Gatten,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
3932.0,572.0,,10046,nil,17.0,,1030,*Suvar-dāta-,*(-)doh₃-to-,PN,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
4017.0,1004.0,,10515,nil,22.0,,1499,ἐπι-χθόνιος,? *dʰĝʰ-ém-ii̯o-,"irdisch, auf der Erde befindlich",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,HG,unmapped
4017.0,1004.0,,10516,nil,22.0,,1500,κατα-χθόνιος,? *dʰĝʰ-ém-ii̯o-,unterirdisch,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,HG,unmapped
4019.0,1004.0,,10526,nil,22.0,,1510,žmo-gùs,? *(dʰ)ĝʰ-m-ah₂-,Mensch,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4037.0,599.0,,10584,nil,23.0,,1568,,? *-dʰh₁-ú-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4144.0,701.0,,10943,nil,30.0,,1927,lüšt(ok),*dʰugh₂tér-,Tochter,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,nuristani,unmapped
4144.0,701.0,,10952,nil,30.0,,1936,lūr,*dʰugh₂tér-,Tochter,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
4144.0,701.0,,10954,nil,30.0,,1938,tar-lə,*dʰugh₂tér-,Cousine,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
4161.0,919.0,,11096,nil,32.0,,2080,,? **ĝm̥H-el-,Heirat,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4165.0,919.0,,11100,nil,32.0,,2084,,? **ĝemH-er-,Schwiegersohn,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4167.0,919.0,,11104,nil,32.0,,2088,,**ĝemH-ot- ,Schwiegersohn →,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4175.0,919.0,,11120,nil,32.0,,2104,zəman,*ĝm̥H-onah₂-,"Lohnzahlung, Stipendium",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
4175.0,919.0,,11121,nil,32.0,,2105,zamne,*ĝm̥H-onah₂-,"Lohnzahlung, Stipendium",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
4184.0,923.0,,11156,nil,33.0,,2140,zāmə́n,*ĝn̥h₁-mén-,Kinder,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
4274.0,1028.0,,11466,nil,35.0,,2450,,? **ĝʰei̯-m-er-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4315.0,1128.0,,11588,nil,38.0,,2572,gāiia-,? *gʷa/oh₂-i̯o-,Schritt,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4398.0,1215.0,,11945,nil,44.0,,2929,ā́-ghṛṇi-,*gʷʰr̥-n-i-,glühend,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,HG,unmapped
4390.0,1215.0,,11954,nil,44.0,,2938,zjarrë,*gʷʰér-es-,Feuer,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,ageg.,unmapped
4418.0,1249.0,,11996,nil,47.0,,2980,yor,^^x^^Hi̯n̥h₂ter-,Frau des Bruders des Gatten,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
4436.0,715.0,,12036,nil,49.0,,3020,,**h₁ed-u̯er/n-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4441.0,715.0,,12044,nil,49.0,,3028,,? **h₁éd-u-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4444.0,715.0,,12048,nil,49.0,,3032,,? **h₁éd-u̯-on- > *h₁éd-u̯on-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4449.0,715.0,,12055,nil,49.0,,3039,,**h₁éd-u̯-ol- > *h₁éd-u̯ol-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4474.0,715.0,,12149,nil,49.0,,3133,uoda,*h₁ōd-o(/ah₂)-,Mücke,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,auch,unmapped
4475.0,715.0,,12153,nil,49.0,,3137,pelė́da,*h₁ēd-ah₂-,Eule,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,komp.,unmapped
4491.0,730.0,,12214,nil,50.0,,3198,,*-h₁i̯-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4496.0,730.0,,12233,nil,50.0,,3217,,**h₁i-t-er/n- > *h₁i-ter/n-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4508.0,730.0,,12275,nil,50.0,,3259,priti,*h₁ei̯-ti-,hinkommen,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,komp.,unmapped
4540.0,749.0,,12364,nil,51.0,,3348,Bi-ri-da-aš-u̯a ,*h₁ék̑u̯o-,PN,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
4571.0,845.0,,12520,nil,54.0,,3504,šu-ba-an-du-,*h₁s-u-,PN,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
4608.0,859.0,,12649,nil,58.0,,3633,,? **h₁u̯ah₂-as-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4630.0,3511.0,,12713,nil,60.0,,3697,vásvī-,*h₁u̯es-u̯-ih₂-,gut,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4638.0,3511.0,,12737,nil,60.0,,3721,wassar,*h₁ué/ós-ro-,Gunst,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,kluv,unmapped
4757.0,65.0,,13134,nil,66.0,,4118,,? **h₂ak̑-r-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
4963.0,2232.0,,13813,nil,77.0,,4797,,*h₂us-s-ih₁- > *h₂us-ih₁- > *h₂us-i-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
5029.0,221.0,,13986,nil,83.0,,4970,,**(h₂)u̯es-r/n-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
5047.0,221.0,,14045,nil,83.0,,5029,,"**h₂us-s-er LSg. > *h₂us-er 'in der Frühe, beim Morgengrauen' > *h₂us-er- ",,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
5162.0,1244.0,,14467,nil,92.0,,5451,yī̆na,*i̯e/okʷ-n-ah₂-,Leber,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
5235.0,1352.0,,14661,nil,98.0,,5645,sōe,*k̑as-ó-,Hase,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
5433.0,1888.0,,15271,nil,116.0,,6255,,? **mad-s-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
5454.0,1915.0,,15368,nil,117.0,,6352,mater,*mah₂tr̥-tm̥mo/ah₂-,Stiefmutter,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,panjabi,unmapped
5600.0,2066.0,,15813,nil,131.0,,6797,*miẓḍʰa-,*(-)mis-dʰh₁-ó-,(in hurrit.-akkad. mištannu 'Lohn für die Ergreifung eines Flüchtigen'),,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
5603.0,2014.0,,15830,nil,132.0,,6814,*prii̯amazdʰa-,? *mn̥s-dʰh₁-ó-,PN,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
5607.0,2014.0,,15838,nil,132.0,,6822,,*mn̥s-dʰh₁- > *mn̥sdʰh₁-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
5610.0,2014.0,,15842,nil,132.0,,6826,,*mn̥s-dʰh₁- > *mn̥(s)dʰ-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
5641.0,781.0,,15937,nil,135.0,,6921,nalī́,*nebʰ-eliko/ah₂-,Wolke,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,nuristani,unmapped
5641.0,781.0,,15938,nil,135.0,,6922,nolī,*nebʰ-eliko/ah₂-,Wolke,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,nuristani,unmapped
5646.0,781.0,,15966,nil,135.0,,6950,nund,*nebʰ-to-,feucht,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
5653.0,2136.0,,16021,nil,136.0,,7005,,? **nokʷ-t-eu̯ > *nokʷ-teu̯-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
5765.0,2365.0,,16451,nil,143.0,,7435,,ˣph₂un-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
5777.0,2262.0,,16478,nil,144.0,,7462,p/binkara-nnu,*pi-n-g-o-,Pferdeepitheton,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
5810.0,2279.0,,16559,nil,147.0,,7543,pōx,*pekʷ-u̯ó-,"gekocht, reif",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto ,unmapped
5819.0,2360.0,,16586,nil,149.0,,7570,piċ-,? *pe/ou̯k̑-ih₂-,ein Nadelbaum Kiefer,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,ashkun,unmapped
5819.0,2360.0,,16587,nil,149.0,,7571,pǖċi,? *pe/ou̯k̑-ih₂-,ein Nadelbaum Kiefer,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,kati,unmapped
5819.0,2360.0,,16588,nil,149.0,,7572,piċi,? *pe/ou̯k̑-ih₂-,ein Nadelbaum Kiefer,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,kati,unmapped
5817.0,2360.0,,16600,nil,149.0,,7584,pùšes,*puk̑-,"Kiefer, Föhre",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,dial.,unmapped
5826.0,2360.0,,16602,nil,149.0,,7586,pùšė,*puk̑-ii̯ah₂-,"Kiefer, Föhre",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,dial.,unmapped
5827.0,2369.0,,16619,nil,150.0,,7603,plār,*ph₂tér-,Vater,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto ,unmapped
5831.0,2369.0,,16681,nil,150.0,,7665,trə,ph₂tr-(u)u̯-(i)i̯o/ah₂-,Onkel (väterlicherseits),,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
5876.0,2417.0,,16853,nil,154.0,,7837,Bi-ir-i̯a-ma-aš-da,*priH-ó-,PN,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
5880.0,2417.0,,16881,nil,154.0,,7865,*prītāśu̯a-,*priH-tó-,PN,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
5905.0,2523.0,,16965,nil,157.0,,7949,tu-iš-e-rat-ta,*rot-h₂-ó-,mit ungestümem Streitwagen (PN),,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
5907.0,2523.0,,16974,nil,157.0,,7958,a-ra-ti-i̯a-an-ni,*rot-(i)i̯o-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
5995.0,2581.0,,17251,nil,161.0,,8235,pәṛ'ī,? *pi-sd-ah₂-,vulva,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,nūristānī,unmapped
6075.0,2578.0,,17454,nil,164.0,,8438,Šuu̯ar-data,*sah₂u̯el/n-,PN,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
6082.0,2578.0,,17479,nil,164.0,,8463,Šur(i)i̯aš,*suh₂l-(i)i̯o/ah₂-,Name oder Beiname des Sonnengottes,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,mitanni,unmapped
6262.0,2954.0,,17999,nil,182.0,,8983,fyrst,? *pri-sth₂-(o-),"Zeit(spanne), Frist, Aufschub",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,fyrst,unmapped
6268.0,2954.0,,18017,nil,182.0,,9001,,**stah₂-u̯er/n-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
6272.0,2954.0,,18025,nil,182.0,,9009,,**sth₂-ur- > *stuh₂r-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
6278.0,2954.0,,18040,nil,182.0,,9024,,**sth₂-un- > *stuh₂n-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
6307.0,2954.0,,18248,nil,182.0,,9232,shtúarë,*(-)stah₂-no-,stehend,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,alb.ital.,unmapped
6350.0,2979.0,,18294,nil,183.0,,9278,dīssel,*(s)t(e)ig-s-t-,Distel,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,n.ostfries.,unmapped
,3062.0,,18429,nil,189.0,,9413,xwāše,*su̯ek̑rúH- 'Schwiegermutter',Schwiegermutter,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto,unmapped
,3062.0,,18444,nil,189.0,,9428,sxar,*su̯ék̑uro- 'Schwiegervater',Schwiegervater,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,pašto ,unmapped
6406.0,3085.0,,18471,nil,190.0,,9455,,? **su̯ep-er/n-,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,,,empty
206.0,,,19246,pok,,,24,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,1.0,,empty
206.0,,,19255,pok,,,33,aval,,Apfel,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2.0,corn. bret.,conflict
3356.0,,,19294,pok,,,72,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,2.0,,empty
3356.0,,,19318,pok,,,96,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,5.0,,empty
3356.0,,,19367,pok,,,145,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,8.0,,empty
3356.0,,,19391,pok,,,169,a,,geht,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,10.0,cymr. corn. bret.,conflict
3520.0,,,19457,pok,,,235,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,10.0,,empty
2.0,,,19545,pok,,,323,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,10.0,,empty
12.0,,,19664,pok,,,442,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,19.0,,empty
12.0,,,19771,pok,,,549,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,28.0,,empty
12.0,,,19784,pok,,,562,eit,,"Glut, Scheiterhaufen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,29.0,ahd. mhd.,conflict
12.0,,,19785,pok,,,563,id,,leuciscus idus,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,29.0,norw. schwed.,conflict
16.0,,,19823,pok,,,601,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,29.0,,empty
20.0,,,19874,pok,,,652,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,32.0,,empty
31.0,,,19997,pok,,,775,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,39.0,,empty
56.0,,,20315,pok,,,1093,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,47.0,,empty
60.0,,,20366,pok,,,1144,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,48.0,,empty
60.0,,,20376,pok,,,1154,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,49.0,,empty
60.0,,,20392,pok,,,1170,aha,,"Fluß, Gewässer",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,51.0,as. ahd.,conflict
64.0,,,20450,pok,,,1228,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,52.0,,empty
67.0,,,20638,pok,,,1416,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,54.0,,empty
68.0,,,20643,pok,,,1421,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,54.0,,empty
70.0,,,20680,pok,,,1458,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,55.0,,empty
72.0,,,20693,pok,,,1471,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,56.0,,empty
72.0,,,20708,pok,,,1486,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,57.0,,empty
72.0,,,20719,pok,,,1497,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,58.0,,empty
72.0,,,20727,pok,,,1505,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,59.0,,empty
72.0,,,20769,pok,,,1547,Alp,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,60.0,mhd. nhd.,conflict
72.0,,,20791,pok,,,1569,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,60.0,,empty
72.0,,,20806,pok,,,1584,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,60.0,,empty
76.0,,,20929,pok,,,1707,am-,,um,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,68.0,corn. bret.,conflict
76.0,,,20930,pok,,,1708,em-,,um,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,68.0,corn. bret.,conflict
76.0,,,20933,pok,,,1711,umbi,,um,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,68.0,ahd. as.,conflict
76.0,,,20938,pok,,,1716,be-,,bei,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,68.0,as. ags.,conflict
80.0,,,20962,pok,,,1740,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,68.0,,empty
80.0,,,20967,pok,,,1745,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,70.0,,empty
83.0,,,20982,pok,,,1760,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,72.0,,empty
83.0,,,20983,pok,,,1761,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,73.0,,empty
85.0,,,21057,pok,,,1835,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,76.0,,empty
90.0,,,21117,pok,,,1895,yst,,Sturm,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,77.0,aisl. ags.,conflict
92.0,,,21131,pok,,,1909,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,77.0,,empty
92.0,,,21132,pok,,,1910,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,77.0,,empty
92.0,,,21133,pok,,,1911,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,77.0,,empty
96.0,,,21161,pok,,,1939,an,,"an, auf, in, bis, gegen",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,78.0,ahd. nhd.,conflict
96.0,,,21164,pok,,,1942,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,78.0,,empty
97.0,,,21181,pok,,,1959,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,78.0,,empty
108.0,,,21308,pok,,,2086,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,84.0,,empty
108.0,,,21322,pok,,,2100,ἄβεις,,ἔχεις,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,86.0,gr. (illyr.),conflict
109.0,,,21362,pok,,,2140,,,,,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,86.0,,empty
109.0,,,21368,pok,,,2146,anken,,"Not, Notwendigkeit",,0,,,,"TD, AMB",AMB,07_23_2025_1516,,,87.0,corn. bret. ,conflict
